Gene_ID,20H_20h_embryo_F,36H_4th_instar_36h_M,36H_4th_instar_36h_F,10D_Adult_10D_M,10D_Adult_10D_F,20D_Adult_20D_M,20D_Adult_20D_F,12H_4th_instar_12h_biololgical_replicate_1_M,12H_4th_instar_12h_biololgical_replicate_2_M,12H_4th_instar_12h_biololgical_replicate_3_M,12H_4th_instar_12h_biololgical_replicate_2_F,12H_4th_instar_12h_biololgical_replicate_3_F
AGAP000002,5.018970337,3.687311064,3.232688608,2.348177199,3.761347406,1.875187262,2.210300043,3.193654294,2.494369257,2.486306538,2.359444865,2.194236834
AGAP000005,124.5944784,2.243048982,21.98308945,24.42190865,14.35091949,13.38895239,15.48487321,12.11822349,0.971523607,8.081135433,4.331693385,4.313251239
AGAP000007,90.14993661,48.32388814,27.25341264,18.75266985,17.64807599,15.89364452,19.6916064,16.72398449,28.52749561,17.01674054,23.28993919,11.68517067
AGAP000008,22.22801005,7.082992734,17.7248749,15.85704777,23.15561519,14.56328838,15.50429097,19.55399459,8.09888688,8.346362445,14.18483912,8.551551714
AGAP000009,13.19860606,2.05109917,7.444763164,22.60319516,10.02077697,16.44185765,3.586041614,9.064586719,1.249191152,2.677060415,1.818290615,1.36457781
AGAP000010,4.248561235,7.255843153,9.210677217,6.938600818,5.054328016,5.911853858,12.8489661,5.214352489,12.87104643,8.752004063,13.49497386,8.039228722
AGAP000011,2.202117753,14.40299472,67.60223605,9.202804936,14.40216793,8.443451274,33.81667176,13.92921863,10.11161739,26.47017066,16.00899085,15.43432278
AGAP000012,4.088499044,10.74514613,4.261597577,2.552850783,3.785142996,3.088793337,8.013651872,3.489062789,23.46344258,8.770885396,12.26621083,10.97415502
AGAP000013,3.625544819,1.52226722,1.632886638,2.108696435,1.947733882,1.78674356,1.609704512,2.025549574,1.714410228,1.824984938,1.831770891,1.872558013
AGAP000014,0.134861007,19.17786963,3.143536999,2.721844947,2.411289565,3.10409459,31.13937081,3.675296746,47.71971837,11.94039876,52.58597727,30.52231894
AGAP000015,0.98633263,0.268466638,0.503975646,0.584745511,0.343004665,0.357136911,0.481043972,0.268103289,0.259698439,0.417507421,0.362638226,0.240623938
AGAP000016,0.0048868,0.013156704,0.01252329,3.999895551,2.676828422,3.745915613,0.019235747,2.827134322,0,0.029949188,0,0
AGAP000017,14.80903319,0.899284892,6.687460534,6.784935597,4.737071434,4.781718353,6.006700362,4.435922957,0.74044094,3.370603138,2.360687718,1.2927159
AGAP000018,4.861800174,0.49776196,2.149977576,1.819870284,2.842972717,1.636336722,1.552002427,2.81622659,0.392668889,0.968228377,0.8777006,0.922154377
AGAP000019,0.222338456,0.237461396,0.666079523,1.448198149,0.629258036,0.981313356,0.483882436,0.505043832,0.170322127,0.386263659,0.298023662,0.194073895
AGAP000021,55.15054374,10.82753276,11.85262451,7.09644349,9.592635531,9.677429545,9.12934171,9.182687222,11.62679143,9.090330865,8.522593762,11.80033541
AGAP000022,38.09253903,164.3247974,58.73949218,22.84406649,24.48655425,20.76349322,57.34963996,26.45735944,152.3103194,75.54843676,96.9707487,91.58813823
AGAP000023,2.320282334,26.90020277,12.53740848,28.92985293,31.94283999,27.82515914,13.19959907,30.26583297,46.69738764,26.06344784,31.75102979,30.11665962
AGAP000025,16.1956779,0.659942129,3.869822355,4.359393265,5.301536895,3.770419416,3.055100016,4.490054275,0.475656703,1.199452538,0.942128543,0.612794303
AGAP000028,18.8832271,2.093391422,5.777570828,7.156265991,11.38554893,3.59177849,4.545280403,8.932049398,2.234806951,2.422943183,2.727881591,1.19653539
AGAP000029,27.3659661,2.806809483,9.078236876,12.49835592,11.4746534,9.000758129,6.197774613,9.293187768,2.165614485,3.937592985,3.548460494,1.887928765
AGAP000032,5.006647689,5.331294991,5.683804286,11.26721373,6.040865126,8.613420251,3.424677857,5.804821913,5.250966835,2.713054224,3.368369998,2.394321937
