Gene_ID,Chr,Testes_Specific,Ovaries_Specific,variable,value,Population
AGAP000002,X,-1,-1,I_mean_FPKM,4.791566394,I
AGAP000005,X,-1,-1,I_mean_FPKM,33.31946094,I
AGAP000007,X,-1,-1,I_mean_FPKM,114.6539745,I
AGAP000008,X,-1,-1,I_mean_FPKM,36.45203834,I
AGAP000009,X,-1,-1,I_mean_FPKM,5.952496925,I
AGAP000010,X,-1,-1,I_mean_FPKM,14.66822417,I
AGAP000011,X,-1,-1,I_mean_FPKM,0.268527507,I
AGAP000012,X,-1,-1,I_mean_FPKM,30.64547224,I
AGAP000013,X,-1,-1,I_mean_FPKM,12.64404704,I
AGAP000014,X,-1,-1,I_mean_FPKM,0,I
AGAP000015,X,-1,-1,I_mean_FPKM,0.096860508,I
AGAP000016,X,-1,-1,I_mean_FPKM,0,I
AGAP000017,X,-1,-1,I_mean_FPKM,12.89601418,I
AGAP000018,X,-1,-1,I_mean_FPKM,0.918616983,I
AGAP000019,X,-1,-1,I_mean_FPKM,0,I
AGAP000020,,-1,-1,I_mean_FPKM,0.999793747,I
AGAP000021,X,-1,-1,I_mean_FPKM,12.19048782,I
AGAP000022,X,-1,-1,I_mean_FPKM,57.3237323,I
AGAP000023,X,-1,-1,I_mean_FPKM,0.107871624,I
AGAP000025,X,-1,-1,I_mean_FPKM,15.19141571,I
AGAP000028,X,-1,-1,I_mean_FPKM,16.90358225,I
AGAP000029,X,-1,-1,I_mean_FPKM,26.4166117,I
AGAP000032,X,-1,-1,I_mean_FPKM,0.544662321,I
AGAP000033,X,-1,-1,I_mean_FPKM,0.843058578,I
AGAP000035,X,-1,-1,I_mean_FPKM,13.63278187,I
AGAP000037,X,-1,-1,I_mean_FPKM,0.022039861,I
AGAP000038,X,-1,-1,I_mean_FPKM,0,I
AGAP000039,X,-1,-1,I_mean_FPKM,0,I
AGAP000040,X,-1,-1,I_mean_FPKM,0.162717729,I
AGAP000041,X,-1,-1,I_mean_FPKM,0,I
AGAP000042,X,-1,-1,I_mean_FPKM,8.705660666,I
AGAP000043,X,-1,-1,I_mean_FPKM,0.311109917,I
AGAP000044,X,-1,-1,I_mean_FPKM,3.373100453,I
AGAP000045,X,-1,-1,I_mean_FPKM,0,I
AGAP000046,X,-1,-1,I_mean_FPKM,0.015696393,I
AGAP000047,X,-1,-1,I_mean_FPKM,0,I
AGAP000048,X,-1,-1,I_mean_FPKM,8.171116932,I
AGAP000049,X,-1,-1,I_mean_FPKM,2.836492802,I
AGAP000051,X,-1,-1,I_mean_FPKM,0.007086858,I
AGAP000053,X,-1,-1,I_mean_FPKM,1.786925085,I
AGAP000054,,-1,-1,I_mean_FPKM,6.252998305,I
AGAP000055,,,,I_mean_FPKM,0.296141622,I
AGAP000056,X,-1,-1,I_mean_FPKM,2.127842573,I
AGAP000057,X,-1,-1,I_mean_FPKM,0.427655014,I
AGAP000058,X,-1,-1,I_mean_FPKM,0.60762789,I
AGAP000061,X,-1,-1,I_mean_FPKM,1.499860847,I
AGAP000062,X,-1,-1,I_mean_FPKM,2.234135927,I
AGAP000063,X,-1,-1,I_mean_FPKM,0.212929203,I
AGAP000064,X,-1,-1,I_mean_FPKM,31.06374558,I
AGAP000065,X,-1,-1,I_mean_FPKM,0.027228717,I
AGAP000066,X,,,I_mean_FPKM,0.020339127,I
AGAP000067,X,-1,-1,I_mean_FPKM,0.018343803,I
AGAP000068,X,-1,-1,I_mean_FPKM,0.206342424,I
AGAP000069,X,-1,-1,I_mean_FPKM,0,I
AGAP000070,X,-1,-1,I_mean_FPKM,8.942691671,I
AGAP000071,X,1,-1,I_mean_FPKM,71.29964303,I
AGAP000072,X,-1,-1,I_mean_FPKM,61.98186346,I
AGAP000073,X,-1,-1,I_mean_FPKM,0,I
AGAP000074,X,-1,-1,I_mean_FPKM,0,I
AGAP000075,X,-1,-1,I_mean_FPKM,0.484943848,I
AGAP000076,X,-1,-1,I_mean_FPKM,74.34222154,I
AGAP000078,X,-1,-1,I_mean_FPKM,211.9885552,I
AGAP000079,X,,,I_mean_FPKM,0.278437398,I
AGAP000080,X,-1,-1,I_mean_FPKM,4.06537247,I
AGAP000081,X,-1,-1,I_mean_FPKM,38.95610723,I
AGAP000082,X,-1,-1,I_mean_FPKM,48.62419704,I
AGAP000083,,-1,-1,I_mean_FPKM,45.88301635,I
AGAP000084,,,,I_mean_FPKM,22.8780509,I
AGAP000085,X,-1,-1,I_mean_FPKM,0.232356467,I
AGAP000086,,-1,-1,I_mean_FPKM,9.529551901,I
AGAP000088,X,-1,-1,I_mean_FPKM,0.294138744,I
AGAP000090,X,-1,-1,I_mean_FPKM,86.39435371,I
AGAP000091,X,-1,-1,I_mean_FPKM,0.049919852,I
AGAP000092,X,-1,-1,I_mean_FPKM,1.909664041,I
AGAP000093,X,-1,-1,I_mean_FPKM,7.120746176,I
AGAP000094,X,-1,-1,I_mean_FPKM,0.42211017,I
AGAP000095,X,-1,-1,I_mean_FPKM,53.36223887,I
AGAP000096,X,-1,-1,I_mean_FPKM,218.7552024,I
AGAP000097,X,-1,-1,I_mean_FPKM,8.452771631,I
AGAP000098,X,-1,-1,I_mean_FPKM,93.14864511,I
AGAP000099,X,-1,-1,I_mean_FPKM,326.0724795,I
AGAP000100,X,-1,-1,I_mean_FPKM,0.123099274,I
AGAP000102,X,-1,-1,I_mean_FPKM,274.0423377,I
AGAP000104,X,-1,-1,I_mean_FPKM,10.3989261,I
AGAP000105,X,-1,-1,I_mean_FPKM,100.6851388,I
AGAP000106,X,-1,-1,I_mean_FPKM,302.9650158,I
AGAP000107,X,-1,-1,I_mean_FPKM,2.611002963,I
AGAP000108,X,-1,-1,I_mean_FPKM,0.203213579,I
AGAP000109,X,-1,-1,I_mean_FPKM,11.63751577,I
AGAP000110,X,-1,-1,I_mean_FPKM,142.7856194,I
AGAP000111,X,-1,-1,I_mean_FPKM,28.92912616,I
AGAP000112,X,-1,-1,I_mean_FPKM,37.67461903,I
AGAP000113,X,-1,-1,I_mean_FPKM,0.394610836,I
AGAP000114,X,-1,-1,I_mean_FPKM,0.094921889,I
AGAP000115,X,-1,-1,I_mean_FPKM,0,I
AGAP000116,X,-1,-1,I_mean_FPKM,13.22780627,I
AGAP000117,X,-1,-1,I_mean_FPKM,0.08155759,I
AGAP000118,X,-1,-1,I_mean_FPKM,33.50110247,I
AGAP000119,X,-1,-1,I_mean_FPKM,24.79258072,I
AGAP000120,X,-1,-1,I_mean_FPKM,23.23976948,I
AGAP000121,X,-1,-1,I_mean_FPKM,0,I
AGAP000123,X,-1,-1,I_mean_FPKM,0,I
AGAP000124,X,-1,-1,I_mean_FPKM,11.07208189,I
AGAP000126,X,-1,-1,I_mean_FPKM,0.758486875,I
AGAP000127,X,-1,-1,I_mean_FPKM,220.2699522,I
AGAP000128,X,-1,-1,I_mean_FPKM,0,I
AGAP000129,X,-1,-1,I_mean_FPKM,0.532489652,I
AGAP000130,,,,I_mean_FPKM,0,I
AGAP000131,X,-1,-1,I_mean_FPKM,0.318630354,I
AGAP000132,X,-1,-1,I_mean_FPKM,3.66530869,I
AGAP000133,X,1,1,I_mean_FPKM,47.02047204,I
AGAP000136,X,-1,-1,I_mean_FPKM,10.88370589,I
AGAP000137,X,-1,-1,I_mean_FPKM,0.049306814,I
AGAP000138,X,-1,-1,I_mean_FPKM,0.090102518,I
AGAP000139,X,-1,-1,I_mean_FPKM,22.1545632,I
AGAP000140,X,-1,-1,I_mean_FPKM,1.199044898,I
AGAP000141,X,-1,-1,I_mean_FPKM,78.51946161,I
AGAP000142,X,-1,-1,I_mean_FPKM,69.7047016,I
AGAP000143,X,-1,-1,I_mean_FPKM,0.022385778,I
AGAP000144,X,-1,-1,I_mean_FPKM,0.033138756,I
AGAP000145,X,-1,-1,I_mean_FPKM,101.8389837,I
AGAP000146,X,-1,-1,I_mean_FPKM,6.128716842,I
AGAP000147,X,-1,-1,I_mean_FPKM,51.59035831,I
AGAP000149,X,-1,-1,I_mean_FPKM,6.536850649,I
AGAP000150,X,-1,-1,I_mean_FPKM,0,I
AGAP000151,X,-1,-1,I_mean_FPKM,0.0252971,I
AGAP000152,X,-1,-1,I_mean_FPKM,0,I
AGAP000153,X,-1,-1,I_mean_FPKM,0.005603444,I
AGAP000154,X,-1,-1,I_mean_FPKM,0.175058736,I
AGAP000155,X,-1,-1,I_mean_FPKM,10.75299322,I
AGAP000156,X,-1,-1,I_mean_FPKM,0.008428053,I
AGAP000158,X,-1,-1,I_mean_FPKM,18.69282504,I
AGAP000159,X,-1,-1,I_mean_FPKM,108.1648434,I
AGAP000160,X,-1,-1,I_mean_FPKM,0.01291962,I
AGAP000161,X,-1,-1,I_mean_FPKM,78.84139436,I
AGAP000162,X,-1,-1,I_mean_FPKM,1.40292741,I
AGAP000163,X,-1,-1,I_mean_FPKM,0.194121369,I
AGAP000164,X,-1,-1,I_mean_FPKM,3.000703555,I
AGAP000165,X,-1,-1,I_mean_FPKM,0.559160057,I
AGAP000166,X,-1,-1,I_mean_FPKM,0.010112295,I
AGAP000167,X,-1,-1,I_mean_FPKM,1.418890094,I
AGAP000168,X,-1,-1,I_mean_FPKM,0.650655375,I
AGAP000169,X,-1,-1,I_mean_FPKM,20.17505201,I
AGAP000170,X,-1,-1,I_mean_FPKM,18.72412153,I
AGAP000171,X,-1,-1,I_mean_FPKM,31.27717325,I
AGAP000172,,-1,-1,I_mean_FPKM,16.05660371,I
AGAP000173,X,-1,-1,I_mean_FPKM,4.282695147,I
AGAP000175,,-1,-1,I_mean_FPKM,6.679955109,I
AGAP000177,X,-1,-1,I_mean_FPKM,0.022659992,I
AGAP000178,X,-1,-1,I_mean_FPKM,98.2044427,I
AGAP000179,X,-1,-1,I_mean_FPKM,2.800384132,I
AGAP000180,X,-1,-1,I_mean_FPKM,3.883923962,I
AGAP000181,X,-1,-1,I_mean_FPKM,0,I
AGAP000182,X,-1,-1,I_mean_FPKM,0.045030906,I
AGAP000183,X,-1,-1,I_mean_FPKM,0.016329166,I
AGAP000184,X,-1,-1,I_mean_FPKM,2.006576245,I
AGAP000185,X,-1,-1,I_mean_FPKM,4.692325157,I
AGAP000186,X,-1,-1,I_mean_FPKM,0.066913209,I
AGAP000187,X,-1,-1,I_mean_FPKM,28.27708318,I
AGAP000188,X,-1,-1,I_mean_FPKM,6.87300864,I
AGAP000189,X,-1,-1,I_mean_FPKM,33.74263572,I
AGAP000190,X,-1,-1,I_mean_FPKM,0,I
AGAP000191,X,-1,-1,I_mean_FPKM,0,I
AGAP000192,X,,,I_mean_FPKM,0,I
AGAP000193,X,-1,-1,I_mean_FPKM,0,I
AGAP000194,X,-1,-1,I_mean_FPKM,0.010801275,I
AGAP000195,X,-1,-1,I_mean_FPKM,18.4807866,I
AGAP000196,X,-1,-1,I_mean_FPKM,27.15844945,I
AGAP000198,X,-1,-1,I_mean_FPKM,0.016554618,I
AGAP000199,X,-1,-1,I_mean_FPKM,9.013913943,I
AGAP000200,X,-1,-1,I_mean_FPKM,0.087946539,I
AGAP000201,X,-1,1,I_mean_FPKM,7.404518374,I
AGAP000202,X,-1,-1,I_mean_FPKM,2.869377313,I
AGAP000203,X,-1,-1,I_mean_FPKM,10.51614089,I
AGAP000204,X,,,I_mean_FPKM,0.205780215,I
AGAP000205,X,-1,-1,I_mean_FPKM,0.384067161,I
AGAP000206,X,,,I_mean_FPKM,0.045412122,I
AGAP000209,X,-1,-1,I_mean_FPKM,0.162199881,I
AGAP000210,X,-1,-1,I_mean_FPKM,0.159647617,I
AGAP000211,X,-1,-1,I_mean_FPKM,0.116010388,I
AGAP000213,X,-1,-1,I_mean_FPKM,0.264338192,I
AGAP000214,X,-1,-1,I_mean_FPKM,8.46887717,I
AGAP000215,X,-1,-1,I_mean_FPKM,0.004563725,I
AGAP000216,X,1,-1,I_mean_FPKM,22.65946961,I
AGAP000217,X,-1,-1,I_mean_FPKM,0,I
AGAP000218,X,-1,-1,I_mean_FPKM,0.267526308,I
AGAP000219,X,-1,-1,I_mean_FPKM,0.004477324,I
AGAP000220,X,-1,-1,I_mean_FPKM,10.92598033,I
AGAP000222,X,-1,-1,I_mean_FPKM,7.615616507,I
